location_id,location_name,demand_charge,suggested_kwp,original_peak_no_pv,optimized_peak_no_pv,reduction_no_pv,savings_no_pv,original_peak_pv,optimized_peak_pv,reduction_pv,savings_pv,warning_no_pv,warning_pv,file_path
83029,"1160 Alloheim Senioren-Residenz ""Reichenbach"" ",170.1,300,109.2,48.2,61.0,10376.1,107.43016288359613,36.430162883596125,71.0,12077.1,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1160 Alloheim Senioren-Residenz Reichenbach _18859_83029_20251031_170421.xlsx
82905,"1165 Alloheim Senioren-Residenz ""Süderbrarup""",47.0,270,54.08,17.08,37.0,1739.0,54.01156940956105,12.011569409561048,42.0,1974.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1165 Alloheim Senioren-Residenz Süderbrarup_18859_82905_20251031_172533.xlsx
82861,"1173 Alloheim Senioren-Residenz ""Am Eichberg""  ",56.1,450,93.86,22.86,71.0,3983.1,93.84797542834112,12.847975428341115,81.0,4544.1,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1173 Alloheim Senioren-Residenz Am Eichberg  _18859_82861_20251031_170547.xlsx
83108,"1180 Alloheim Senioren-Residenz ""Einbeck""",207.61,320,110.24,60.239999999999995,50.0,10380.5,102.76176933197345,53.761769331973454,49.0,10172.890000000001,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1180 Alloheim Senioren-Residenz Einbeck_18859_83108_20251031_171701.xlsx
83748,"1185 Alloheim Senioren-Residenz ""An der Elbe""",179.6,115,47.08,21.08,26.0,4669.599999999999,44.035902247288846,18.035902247288846,26.0,4669.599999999999,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1185 Alloheim Senioren-Residenz An der Elbe_18859_83748_20251031_171220.xlsx
83420,"1404 Alloheim Senioren-Residenz ""Sophienresidenz""",20.89,250,112.752,54.751999999999995,58.0,1211.6200000000001,107.06697611696306,39.06697611696306,68.0,1420.52,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1404 Alloheim Senioren-Residenz Sophienresidenz_18859_83420_20251031_172656.xlsx
82948,"1411 Alloheim Senioren-Residenz ""Stadtquartier Schlossstraße""",22.02,110,68.72,21.72,47.0,1034.94,58.837060660261166,18.837060660261166,40.0,880.8,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1411 Alloheim Senioren-Residenz Stadtquartier Schlossstraße_18859_82948_20251031_171823.xlsx
82927,"1412 Alloheim Senioren-Residenz ""An der Schillerhöhe""",56.1,190,94.0,30.0,64.0,3590.4,78.78847767133726,25.78847767133726,53.0,2973.3,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1412 Alloheim Senioren-Residenz An der Schillerhöhe_18859_82927_20251031_172322.xlsx
85565,1413 Alloheim Senioren-Residenz „Am Plauer Turm“ ,0.0,149,64.13,25.129999999999995,39.0,0.0,57.970030077687646,21.970030077687646,36.0,0.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1413 Alloheim Senioren-Residenz „Am Plauer Turm“ _18859_85565_20251031_172751.xlsx
84851,"1416 Alloheim Senioren-Residenz ""Waisengärten""",8.0,190,84.0,34.0,50.0,400.0,66.65347608353693,30.65347608353693,36.0,288.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1416 Alloheim Senioren-Residenz Waisengärten_18859_84851_20251031_170709.xlsx
85568,"1417 Alloheim Senioren-Residenz ""Am Altstädter Markt""",46.86,200,66.248,26.248000000000005,40.0,1874.4,59.446655745929384,20.446655745929384,39.0,1827.54,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1417 Alloheim Senioren-Residenz Am Altstädter Markt_18859_85568_20251031_172742.xlsx
85570,"1418 Alloheim Senioren-Residenz ""Meißen an der Elbe""",15.51,120,56.7,17.700000000000003,39.0,604.89,49.29625825322654,15.29625825322654,34.0,527.34,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1418 Alloheim Senioren-Residenz Meißen an der Elbe_18859_85570_20251031_171310.xlsx
82873,"1419 Alloheim Senioren-Residenz ""Am Sieberdamm""",249.07,200,69.2,25.200000000000003,44.0,10959.08,59.090201773690524,21.090201773690524,38.0,9464.66,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1419 Alloheim Senioren-Residenz Am Sieberdamm_18859_82873_20251031_172406.xlsx
82836,"1421 Alloheim Senioren-Residenz ""An der alten Färberei""",56.1,155,70.0,19.0,51.0,2861.1,68.09792877048312,8.097928770483122,60.0,3366.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1421 Alloheim Senioren-Residenz An der alten Färberei_18859_82836_20251031_170536.xlsx
83186,"1422 Alloheim Senioren-Residenz ""Am Beckerturm""",191.79,140,77.448,26.447999999999993,51.0,9781.289999999999,70.6539303379583,18.6539303379583,52.0,9973.08,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1422 Alloheim Senioren-Residenz Am Beckerturm_18859_83186_20251031_171711.xlsx
85540,"1423 Alloheim Senioren-Residenz ""Schlie Leven""",49.09,0,77.372,35.372,42.0,2061.78,77.372,35.372,42.0,2061.78,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1423 Alloheim Senioren-Residenz Schlie Leven_18859_85540_20251031_170659.xlsx
84150,"1426 Alloheim Senioren-Residenz ""Am Nemerower Holz""",166.15,187,79.4,27.400000000000006,52.0,8639.800000000001,75.99666874829599,22.99666874829599,53.0,8805.95,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1426 Alloheim Senioren-Residenz Am Nemerower Holz_18859_84150_20251031_170720.xlsx
83665,1451 Itertalklinik Seniorenzentrum Walheim ,0.0,140,86.72,41.72,45.0,0.0,76.6593533002738,33.65935330027381,43.0,0.0,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1451 Itertalklinik Seniorenzentrum Walheim _18859_83665_20251031_172543.xlsx
85091,1452 Itertalklinik Seniorenzentrum Kornelimünster,141.39,170,52.74,24.740000000000002,28.0,3958.9199999999996,42.87629951198354,20.87629951198354,22.0,3110.58,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1452 Itertalklinik Seniorenzentrum Kornelimünster_18859_85091_20251031_171014.xlsx
82949,1453 Itertalklinik Seniorenzentrum Roetgen II,96.52,137,43.12,16.119999999999997,27.0,2606.04,35.20628757917521,12.20628757917521,23.0,2219.96,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1453 Itertalklinik Seniorenzentrum Roetgen II_18859_82949_20251031_170435.xlsx
83669,1454 Itertalklinik Seniorenzentrum Breinig ,21.78,0,77.98,21.980000000000004,56.0,1219.68,77.98,21.980000000000004,56.0,1219.68,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1454 Itertalklinik Seniorenzentrum Breinig _18859_83669_20251031_171648.xlsx
84180,1455 Itertalklinik Seniorenzentrum Stolberg Mitte,141.39,240,47.78,20.78,27.0,3817.5299999999997,42.87462569135801,15.874625691358013,27.0,3817.5299999999997,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1455 Itertalklinik Seniorenzentrum Stolberg Mitte_18859_84180_20251031_172210.xlsx
83668,1456 Itertalklinik Seniorenzentrum Simmerath,141.39,375,76.68,30.405894743815047,46.27410525618496,6542.695742171991,68.34839056657843,21.34839056657843,47.0,6645.329999999999,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1456 Itertalklinik Seniorenzentrum Simmerath_18859_83668_20251031_172647.xlsx
84904,"1501 Alloheim Senioren-Residenz ""Philosophenweg""",49.34,170,100.9,52.900000000000006,48.0,2368.32,99.75270541523066,38.04598062305938,61.706724792171286,3044.6098012457314,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1501 Alloheim Senioren-Residenz Philosophenweg_18859_84904_20251031_171449.xlsx
85541,"1502 Alloheim Senioren-Residenz ""Ellerau""",32.18,150,97.6,33.599999999999994,64.0,2059.52,88.01846760048892,26.01846760048892,62.0,1995.16,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1502 Alloheim Senioren-Residenz Ellerau_18859_85541_20251031_172610.xlsx
85147,"1503 Alloheim Senioren-Residenz ""Reinbek""",35.78,150,68.4,24.400000000000006,44.0,1574.3200000000002,66.3973278729647,19.397327872964695,47.0,1681.66,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,⚠️ Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.,c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data_2025\LP_2025_Alloheim Senioren-Residenzen SE_1503 Alloheim Senioren-Residenz Reinbek_18859_85147_20251031_171318.xlsx
