location_id;location_name;demand_charge;suggested_kwp;original_peak_no_pv;optimized_peak_no_pv;reduction_no_pv;savings_no_pv;original_peak_pv;optimized_peak_pv;reduction_pv;savings_pv;warning_no_pv;warning_pv;file_path
85451;"7803 Seniorenhaus ""Altenhagen""";0.0;220;70.0;21.0;49.0;0.0;6.014.559.209.509.060;1.314.559.209.509.060;47.0;0.0;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_7803 Seniorenhaus _Altenhagen_.xlsx
84300;7805 Tagespflege im Seniorenhaus Nußberg;0.0;170;65.28;26.28;39.0;0.0;59.007.457.384.039.900;23.007.457.384.039.900;36.0;0.0;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_7805 Tagespflege im Seniorenhaus Nußberg.xlsx
85332;"7806 Alloheim Senioren-Residenz ""Crange""";0.0;150;62.0;22.0;40.0;0.0;6.181.882.052.582.010;19.818.820.525.820.100;42.0;0.0;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_7806 Alloheim Senioren-Residenz _Crange_.xlsx
85045;"7808 Alloheim Senioren-Residenz ""Jürgens Hof""";39.32;220;69.0;22.0;47.0;1848.04;57.597.612.330.991.000;13.597.612.330.991.000;44.0;1730.08;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_7808 Alloheim Senioren-Residenz _Jürgens Hof_.xlsx
83153;"7811 Senioren-Residenz ""Bönen Königsborn""";137.6;240;73.0;37.0;36.0;4.953.599.999.999.990;6.799.144.816.825.490;30.991.448.168.254.900;37.0;5091.2;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_7811 Senioren-Residenz _Bönen Königsborn_.xlsx
82871;"7812 Senioren-Residenz ""An der Großen Laache""";78.46;170;91.52;56.519.999.999.999.900;35.0;2746.1;8.810.734.821.798.660;5.110.734.821.798.660;37.0;2903.02;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_7812 Senioren-Residenz _An der Großen Laache_.xlsx
82820;7820 Seniorenhaus Kurler Busch;29.71;120;48.76;15.759.999.999.999.900;33.0;9.804.300.000.000.000;4.588.879.344.755.760;12.888.793.447.557.600;33.0;9.804.300.000.000.000;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_7820 Seniorenhaus Kurler Busch.xlsx
83019;7821 Seniorenresidenz Selm;78.46;140;60.04;23.04;37.0;2903.02;4.907.478.530.021.120;2.007.478.530.021.120;29.0;22.753.399.999.999.900;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_7821 Seniorenresidenz Selm.xlsx
83652;"8218 Alloheim Senioren-Residenz ""Haus Bergisch Land""";201.93;190;141.0;71.0;70.0;14135.1;12.753.417.927.132.700;6.353.417.927.132.750;64.0;12923.52;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_8218 Alloheim Senioren-Residenz _Haus Bergisch Land_.xlsx
82944;"8443 Alloheim Senioren-Residenz ""Nordstraße""";167.77;200;80.6;36.599.999.999.999.900;44.0;7381.88;7.599.465.574.592.930;2.999.465.574.592.930;46.0;7717.42;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_8443 Alloheim Senioren-Residenz _Nordstraße_.xlsx
83100;"8997 Alloheim Senioren-Residenz ""Haus am Peetzsee""";96.77;170;92.5;41.5;51.0;49.352.699.999.999.900;86.708.388.617.274;38.708.388.617.274;48.0;4644.96;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_8997 Alloheim Senioren-Residenz _Haus am Peetzsee_.xlsx
83099;"8998 Alloheim Senioren-Residenz ""Haus am Werbellinsee""";96.77;170;51.856;24.856;27.0;2612.79;5.022.743.464.417.420;22.227.434.644.174.200;28.0;2709.56;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_8998 Alloheim Senioren-Residenz _Haus am Werbellinsee_.xlsx
